,name,city,country,region,members,fullurl,created,past_events,upcoming_events,visibility,last_event
539,Norrköping Data Science Community,Norrköping,Sweden,Europe,163,https://www.meetup.com/Norrkoping-Data-Science-Community/,03-05-2019,6,0,public,03-11-2020
541,Women in Data Science (WiDS) Cambridge,Cambridge,USA,US/Canada,109,https://www.meetup.com/Women-in-Data-Science-WiDS-Cambridge/,12-03-2020,0,0,public,01-01-1970
542,Bronx Data Science Meetup,Bronx,USA,US/Canada,130,https://www.meetup.com/Bronx-Big-Data-Meetup/,07-11-2017,1,0,public,05-03-2018
543,Spatial Data Science NYC,New York,USA,US/Canada,97,https://www.meetup.com/Spatial-Data-Science-NYC/,24-01-2020,2,1,public,24-03-2021
544,Data Science and Analytics - Southern Oregon,Medford,USA,US/Canada,22,https://www.meetup.com/meetup-group-dpxhbtmz/,26-11-2020,1,0,public,05-01-2021
545,"CREWES - Seismic, Machine Learning and Data Science Research",Calgary,Canada,US/Canada,51,https://www.meetup.com/crewes/,06-05-2021,3,0,public,10-06-2021
546,Nürnberg Data Science,Nürnberg,Germany,Europe,101,https://www.meetup.com/Nuernberg-Data-Science/,05-02-2020,1,0,public,06-03-2020
547,Data Science Exeter,Exeter,United Kingdom,Europe,448,https://www.meetup.com/Data-Science-Exeter/,02-03-2016,14,0,public,14-03-2018
548,Istanbul - Quematics Data Science & Machine Learning,Istanbul,Turkey,Europe,387,https://www.meetup.com/Istanbul-Quematics-Data-Science-Machine-Learning/,04-03-2020,6,0,public,07-12-2020
549,Southern California Data Science and Datapreneurship,Rancho Cucamonga,USA,US/Canada,204,https://www.meetup.com/Southern-California-Data-Science-and-Datapreneurship/,09-03-2019,26,0,public,21-03-2021
551,Data Science Minneapolis,Minneapolis,USA,US/Canada,1720,https://www.meetup.com/Data-Science-Minneapolis/,05-02-2019,18,0,public,06-04-2021
552,Data Science Malmö,Malmö,Sweden,Europe,330,https://www.meetup.com/Data-Science-Malmo/,21-05-2018,13,0,public,10-09-2019
553,Data Science Mumbai,Mumbai,India,Asia,1192,https://www.meetup.com/ik2analytics/,23-10-2018,46,0,public,15-05-2021
554,Eblocks Data Analytics Group (E-DAG),Johannesburg,South Africa,Africa,69,https://www.meetup.com/eblocks-data-science-group-e-dag/,12-02-2020,0,0,public,01-01-1970
555,Data Council London Data Engineering & Science,London,United Kingdom,Europe,682,https://www.meetup.com/DataCouncil-AI-London-Data-Engineering-and-Science/,15-11-2018,10,0,public,15-12-2020
556,Los Angeles Data Career Coaching,Los Angeles,USA,US/Canada,183,https://www.meetup.com/meetup-group-fmWRlnaK/,29-09-2018,4,0,public,21-11-2018
557,Applied Data Science Sydney,Sydney,Australia,Australia,512,https://www.meetup.com/Applied-Data-Science-Sydney/,07-09-2019,3,0,public,06-02-2020
558,DFW Full Stack Data Science,Plano,USA,US/Canada,109,https://www.meetup.com/DFW-Full-Stack-Data-Science/,28-06-2019,0,0,public,01-01-1970
559,Talk Data to MX,México City,Mexico,Latin America,208,https://www.meetup.com/Learn-Data-Science-Analyitics-ML-AI-and-talk-data-to-me/,06-11-2018,2,0,public,30-11-2018
560,SF Data Meetup,San Francisco,USA,US/Canada,571,https://www.meetup.com/SF-Data-Meetup/,26-05-2018,1,0,public,29-08-2018
561,Decision Science,London,United Kingdom,Europe,105,https://www.meetup.com/DecisionIntelligence/,02-03-2020,0,0,public,01-01-1970
562,Early Career & Graduate Data Scientists,London,United Kingdom,Europe,59,https://www.meetup.com/early-career-graduate-data-scientists/,19-03-2021,1,0,public,23-03-2021
563,Data Umbrella India,Bangalore,India,Asia,33,https://www.meetup.com/data-umbrella-india/,01-12-2020,0,0,public,01-01-1970
564,Boston Area Pharmaceutical Statistics and Data Science Group,Boston,USA,US/Canada,645,https://www.meetup.com/Boston-Area-Pharmaceutical-Statistics-and-Data-Science-Group/,09-05-2019,4,0,public,25-02-2020
565,PGH Data Science,Pittsburgh,USA,US/Canada,1923,https://www.meetup.com/PGH-Data-Science/,02-02-2017,25,0,public,16-11-2020
566,Silicon Valley Data Visualization Meetup,Palo Alto,USA,US/Canada,704,https://www.meetup.com/SVDataVizMeetup/,26-11-2017,24,0,public,29-02-2020
567,"NJ Data Science - Spark, TensorFlow",Princeton,USA,US/Canada,856,https://www.meetup.com/nj-datascience/,12-04-2014,25,1,public,14-05-2019
568,Moffitt Cancer Center Bio-Data Club,Tampa,USA,US/Canada,64,https://www.meetup.com/biodataclub/,30-05-2019,8,1,public,16-04-2021
569,CAAG: Charlotte Area Analytics Group,Charlotte,USA,US/Canada,193,https://www.meetup.com/Charlotte-Area-Analytics-Group-CAAG-Meetup/,17-06-2019,6,0,public,03-12-2020
570,PyData Kaduna,Kaduna,Nigeria,Africa,240,https://www.meetup.com/PyData-Kaduna/,01-03-2019,2,0,public,22-12-2019
571,Datascrum,London,United Kingdom,Europe,676,https://www.meetup.com/Datascrum/,02-05-2019,9,0,public,23-11-2020
572,DataSciMT,Cuiabá,Brazil,Latin America,334,https://www.meetup.com/DataSciMT/,30-09-2019,7,0,public,20-08-2020
573,NeuralMinds Delhi Chapter,Delhi,India,Asia,1763,https://www.meetup.com/neuralminds-delhi/,17-03-2017,3,0,public,27-11-2018
574,DataCan Meetup Group,Vancouver,Canada,US/Canada,24,https://www.meetup.com/datacan-meetup-group/,07-05-2021,0,0,public,01-01-1970
575,Kaggle Days Meetup Sevilla,Sevilla,Spain,Europe,164,https://www.meetup.com/Kaggle-Days-Meetup-Sevilla/,20-09-2019,1,0,public,23-11-2019
576,PyData Bulawayo,Bulawayo,Zimbabwe,Africa,23,https://www.meetup.com/PyData-Bulawayo/,07-03-2019,0,0,public,01-01-1970
577,Workshop in Data Science,Milano,Italy,Europe,130,https://www.meetup.com/Workshop-in-Data-Science/,31-05-2019,1,0,public,08-07-2019
578,BigNumber Copenhagen,Copenhagen,Denmark,Europe,145,https://www.meetup.com/bignumber-copenhagen/,14-08-2020,11,0,public,05-03-2021
579,Ribeirão Preto Artificial Intelligence & Machine Learning,Ribeirão Preto,Brazil,Latin America,355,https://www.meetup.com/Ribeirao-Preto-Artificial-Intelligence-Machine-Learning/,25-08-2018,10,0,public,03-07-2019
580,PyData Mysore,Mysore,India,Asia,448,https://www.meetup.com/PyData-Mysore/,12-11-2018,2,0,public,13-08-2019
581,Long Island Data Analytics Meetups,Old Westbury,USA,US/Canada,338,https://www.meetup.com/Long-Island-Data-Analytics-Meetup-Group/,20-06-2019,11,0,public,05-05-2021
582,Port City Analytics,Wilmington,USA,US/Canada,117,https://www.meetup.com/PortCityAnalytics/,07-02-2018,6,0,public,12-12-2019
583,Artificial Intelligence Meetup (AIM) of Bloomington-Normal,Bloomington,USA,US/Canada,156,https://www.meetup.com/AIM-of-Bloomington-Normal/,06-05-2019,6,0,public,06-10-2020
584,Aspiring Data Scientist Community,Austin,USA,US/Canada,1242,https://www.meetup.com/Aspiring-Data-Scientist-Community/,30-06-2017,26,0,public,10-03-2020
585,QuantUniversity Meetup Group - London,London,United Kingdom,Europe,96,https://www.meetup.com/QuantUniversity-Meetup-Group/,21-07-2020,36,6,public,01-06-2021
586,BigNumber Berlin,Berlin,Germany,Europe,193,https://www.meetup.com/bignumber-berlin/,11-08-2020,11,0,public,05-03-2021
587,Cheminformatics and Computational biology,Rockville,USA,US/Canada,1,https://www.meetup.com/meetup-group-jebqvilo/,11-06-2021,0,0,public,01-01-1970
588,BigNumber Stockholm,Stockholm,Sweden,Europe,193,https://www.meetup.com/bignumber-stockholm/,14-08-2020,11,0,public,05-03-2021
589,Datapanthy@DeveLearn,Mumbai,India,Asia,37,https://www.meetup.com/Mumbai-Data-Science-Meetup-Group-Datapanthy-DeveLearn/,30-01-2020,0,0,public,01-01-1970
591,PyData Atlanta,Atlanta,USA,US/Canada,3519,https://www.meetup.com/PyData-Atlanta/,04-01-2016,65,0,public,11-11-2020
592,PyData Boston - Cambridge,Boston,USA,US/Canada,2199,https://www.meetup.com/PyData-Boston-Cambridge/,20-10-2014,29,0,public,27-05-2021
593,Kaggle Days Meetup Madrid,Madrid,Spain,Europe,908,https://www.meetup.com/kaggle-days-meetup-madrid/,13-10-2018,5,0,public,04-03-2021
594,Accenture Data Meetup,Warsaw,Poland,Europe,186,https://www.meetup.com/meetup-group-GJrQIpUu/,10-02-2018,1,0,public,15-02-2018
596,DataMeet Pune,Pune,India,Asia,860,https://www.meetup.com/DataMeet-Pune/,14-07-2015,31,0,public,13-04-2019
598,Hyderabad Machine Learning Foundation Meetup,Hyderabad,India,Asia,1153,https://www.meetup.com/Hyderabad-Machine-Learning-Foundation-Meetup/,02-10-2018,27,0,public,07-06-2021
599,Data Visualization RTP,Raleigh,USA,US/Canada,319,https://www.meetup.com/Data-Visualization-RTP/,04-08-2019,10,3,public,21-04-2021
600,GigBuzz Zürich,Zürich,Switzerland,Europe,459,https://www.meetup.com/GigBuzz-Zurich/,23-04-2018,15,0,public,27-05-2020
601,Boston Dataquest Group,Boston,USA,US/Canada,842,https://www.meetup.com/Boston-Dataquest-Group/,27-10-2016,39,0,public,03-02-2021
602,Arlington Statistical Computing Meetup,Arlington,USA,US/Canada,239,https://www.meetup.com/Arlington-Statistical-Computing-Meetup/,26-02-2017,3,0,public,05-07-2017
604,Data Viz Jam Sessions,Seattle,USA,US/Canada,1418,https://www.meetup.com/Data-Viz-Jam-Sessions/,25-06-2016,64,0,public,22-02-2020
605,IndyML,Carmel,USA,US/Canada,302,https://www.meetup.com/IndyML/,30-07-2015,19,0,public,12-05-2020
606,Matrixian Group,Amsterdam,Netherlands,Europe,25,https://www.meetup.com/Matrixian-Group/,15-10-2018,1,0,public,20-10-2018
607,Mu Sigma,Berlin,Germany,Europe,79,https://www.meetup.com/Mu-Sigma/,31-01-2020,1,0,public,21-10-2020
608,Artificial Intelligence for Medical Technology,Amsterdam,Netherlands,Europe,1129,https://www.meetup.com/Artificial-Intelligence-for-Medical-Technology/,26-02-2019,7,0,public,09-12-2020
609,Informs DFW Chapter,Dallas,USA,US/Canada,145,https://www.meetup.com/informs-dfw-chapter/,11-01-2021,2,0,public,21-04-2021
610,Angat Tech,Manila,Philippines,Asia,141,https://www.meetup.com/Angat-Tech/,30-01-2020,2,0,public,19-03-2020
611,Bioinformatics London,London,United Kingdom,Europe,816,https://www.meetup.com/Bioinformatics-London/,05-09-2015,41,7,public,27-05-2021
618,IBM Power Systems Users,Southfield,USA,US/Canada,129,https://www.meetup.com/IBM-Power-Systems-Users/,19-02-2018,7,0,public,29-07-2020
619,DataViz Wellington,Wellington,New Zealand,Australia,765,https://www.meetup.com/DataViz-Wellington/,30-08-2018,19,0,public,25-11-2020
622,Bangalore Programmer Group - C/Data Structures and Algo,Bangalore,India,Asia,168,https://www.meetup.com/bangalore-cprogramming/,27-11-2019,2,0,public,08-12-2019
623,The Project Management Group- Hyderabad Chapter,Hyderabad,India,Asia,33,https://www.meetup.com/the-data-discussion/,23-12-2020,1,0,public,03-01-2021
624,Analytics Para Todos - Panama Group,Panamá,Panama,Latin America,69,https://www.meetup.com/analytics-en-espanol/,01-02-2021,2,0,public,18-02-2021
625,RASA Community  Chapter Madrid - Spain,Madrid,Spain,Europe,61,https://www.meetup.com/RASA-Chatbots-Community-Spain/,02-03-2020,2,0,public,21-10-2020
626,Israel Tech Challenge,Tel Aviv-Yafo,Israel,Asia,155,https://www.meetup.com/Itc-tech/,16-07-2018,15,0,public,14-01-2020
627,Fairness in AI,Amsterdam,Netherlands,Europe,111,https://www.meetup.com/Fairness-in-AI/,19-02-2020,0,0,public,01-01-1970
633,Triangle Julia Users,Raleigh,USA,US/Canada,153,https://www.meetup.com/Triangle-Julia-Users/,26-01-2014,14,0,public,13-12-2016
639,CoderGirls Aarhus,Århus,Denmark,Europe,106,https://www.meetup.com/codergirls_aarhus/,03-06-2016,59,0,public,30-04-2021
640,Digital India,Noida,India,Asia,423,https://www.meetup.com/Digital-India/,27-09-2015,0,0,public,01-01-1970
655,Rock Solid Computer Programming,New York,USA,US/Canada,202,https://www.meetup.com/Rock-Solid-Computer-Programming/,02-07-2020,16,0,public,24-09-2020
665,Chicago Big Data Analytics Meetup,Chicago,USA,US/Canada,1527,https://www.meetup.com/Chicago-Big-Data-Analytics-Meetup/,13-10-2013,102,6,public,29-11-2017
666,"Big Data Analytics: Mobile, Social and Web",San Jose,USA,US/Canada,3075,https://www.meetup.com/Big-Data-Analytics-Mobile-Social-and-Web/,21-06-2011,59,0,public,22-06-2017
667,Scotland Data Science & Technology Meetup,Edinburgh,United Kingdom,Europe,4840,https://www.meetup.com/Scotland-Data-Science-Technology-Meetup/,07-04-2015,128,1,public,12-05-2021
671,Hannover Data Science,Hannover,Germany,Europe,497,https://www.meetup.com/Hannover-R-User-Group/,19-10-2016,17,0,public,19-09-2018
676,SageMaker User Group Chicago,Chicago,USA,US/Canada,187,https://www.meetup.com/SageMaker-User-Group-Chicago/,03-01-2020,2,0,public,08-04-2020
677,SageMaker User Group Columbus,Columbus,USA,US/Canada,13,https://www.meetup.com/SageMaker-User-Group-Columbus/,29-04-2020,0,0,public,01-01-1970
678,"Video Analytics, Edge to Data Center by C.R.G & NVIDIA",Petakh Tiqwa,Israel,Asia,120,https://www.meetup.com/Video-Analytics-Edge-to-Data-Center-by-C-R-G-NVIDIA/,01-01-2019,1,0,public,22-01-2019
683,Sisense R&D Meetup,Tel Aviv-Yafo,Israel,Asia,846,https://www.meetup.com/Sisense-R-D-Meetup/,29-11-2018,4,0,public,17-12-2019
684,Intelligence of Things at CoE Gurugram,Gurgaon,India,Asia,46,https://www.meetup.com/Intelligence-of-Things-CoE_Gurugram/,21-11-2018,12,0,public,10-10-2020
691,Dubai Computer programming Meetup Group,Dubai,U.A.E.,Asia,18,https://www.meetup.com/Dubai-Computer-programming-Meetup-Group/,05-06-2020,1,0,public,08-07-2020
704,Statistical Seminars DC,Washington,USA,US/Canada,1943,https://www.meetup.com/Statistical-Seminars-DC/,07-07-2018,106,3,public,08-06-2021
706,Applied Math and Statistics,New York,USA,US/Canada,322,https://www.meetup.com/applied-math-and-statistics/,06-02-2020,4,0,public,10-04-2021
707,Statistics Meet n’ Greet,New York,USA,US/Canada,70,https://www.meetup.com/New-York-Applied-Statistics-Meetup-Group/,14-03-2020,0,0,public,01-01-1970
713,EPIC Centre for Quantum Computing,Kozhikode,India,Asia,693,https://www.meetup.com/EPICCenterforQuantumComputing/,29-11-2017,54,0,public,10-06-2021
733,Kolkata Data Science Meetup,Kolkata,India,Asia,977,https://www.meetup.com/Kolkata-Data-Science-Meetup/,03-12-2014,1,0,public,16-12-2014
735,London Probability Theory Meetup,London,United Kingdom,Europe,127,https://www.meetup.com/London-Probability-Theory-Meetup/,09-04-2017,0,0,public,01-01-1970
736,Stan Users - Boston/Camberville,Cambridge,USA,US/Canada,402,https://www.meetup.com/Stan-Users-Boston-Camberville/,02-09-2015,17,0,public,23-01-2019
737,Bayesian Data Analysis,New York,USA,US/Canada,1802,https://www.meetup.com/bda-group/,22-04-2014,37,1,public,19-05-2021
739,Brooklyn Advanced Marketing Methods,Brooklyn,USA,US/Canada,16,https://www.meetup.com/Brooklyn-Advanced-Marketing-Methods/,12-02-2019,0,0,public,01-01-1970
741,Meetup: Bayesian Econometrics,Medellín,Colombia,Latin America,50,https://www.meetup.com/Meetup-Bayesian-Econometrics/,23-06-2016,0,0,public,01-01-1970
742,St. Louis Machine Learning & Data Science,Saint Louis,USA,US/Canada,2351,https://www.meetup.com/St-Louis-Machine-Learning/,17-07-2012,93,0,public,11-05-2021
743,ODSC London Data Science,London,United Kingdom,Europe,6679,https://www.meetup.com/London-Data-Science-ODSC/,29-06-2015,149,5,public,08-06-2021
744,San Francisco Data Science ODSC,San Francisco,USA,US/Canada,4104,https://www.meetup.com/San-Francisco-ODSC/,26-06-2015,177,1,public,02-06-2021
745,France KNIME Users,Paris,France,Europe,335,https://www.meetup.com/Paris-KNIME-Users/,27-04-2015,32,1,public,01-06-2021
747,ODSC Data Science Boston,Cambridge,USA,US/Canada,2838,https://www.meetup.com/odsc-open-source-data-science/,09-09-2013,205,1,public,02-06-2021
749,PyData Athens,Athens,Greece,Europe,1179,https://www.meetup.com/PyData-Athens/,13-04-2018,15,0,public,11-11-2020
750,Quants for good,New York,USA,US/Canada,3612,https://www.meetup.com/quantsforgood/,01-11-2013,15,0,public,23-08-2017
751,Silicon Valley Data Science Journal Club,Mountain View,USA,US/Canada,941,https://www.meetup.com/Silicon-Valley-Data-Science-Journal-Club/,01-07-2013,46,0,public,31-10-2017
752,PyData Istanbul,Istanbul,Turkey,Europe,1448,https://www.meetup.com/PyData-Istanbul/,07-11-2016,8,0,public,11-11-2017
754,BigNumber Austin,Austin,USA,US/Canada,160,https://www.meetup.com/bignumber-austin/,26-08-2020,9,0,public,05-03-2021
755,Boston-area Women in Bioinformatics,Cambridge,USA,US/Canada,989,https://www.meetup.com/boston-area-womens-bioinformatics/,27-03-2015,41,1,public_limited,21-04-2021
756,MiraiLabs | Data Science Workshops,Zürich,Switzerland,Europe,168,https://www.meetup.com/MiraiLabs-Data-Science-Workshops/,24-06-2019,1,0,public,24-09-2019
757,PyData Cardiff Meetup,Cardiff,United Kingdom,Europe,938,https://www.meetup.com/PyData-Cardiff-Meetup/,06-02-2018,12,0,public,11-02-2020
758,Data Science Floripa,Florianópolis,Brazil,Latin America,1935,https://www.meetup.com/dsfloripa/,16-04-2015,17,0,public,18-02-2020
759,Colchester Scientific Programming Meetup Group,Colchester,United Kingdom,Europe,33,https://www.meetup.com/colchester-scientific-programming-meetup-group/,08-03-2021,15,0,public,11-06-2021
760,Alpine Data Lovers,Garmisch-Partenkirchen,Germany,Europe,62,https://www.meetup.com/alpine-data-lovers/,18-12-2019,8,0,public,09-02-2021
762,"Toronto - Cognitive, AI & Data Science Meetup",Toronto,Canada,US/Canada,12724,https://www.meetup.com/Cognitive-Toronto/,17-03-2014,133,0,public,25-02-2021
763,"Datascience in Finance, Paris",Paris,France,Europe,556,https://www.meetup.com/Datascience-in-Finance-Paris/,23-06-2015,4,0,public,12-07-2017
764,Find a Tech Job,London,United Kingdom,Europe,4919,https://www.meetup.com/Find-A-tech-Job-In-London/,24-05-2012,53,0,public,03-11-2020
765,Bath Machine Learning Meetup,Bath,United Kingdom,Europe,726,https://www.meetup.com/BathML/,03-10-2016,34,0,public,23-04-2020
766,NYCFinance,New York,USA,US/Canada,301,https://www.meetup.com/NYCFinance/,17-02-2018,181,3,public,08-06-2021
767,Seacoast (ME/NH) Data Science Meetup,Portsmouth,USA,US/Canada,129,https://www.meetup.com/Seacoast-ME-NH-Data-Science-Meetup/,15-01-2016,1,0,public,09-02-2016
768,Chicago Indie Hackers,Chicago,USA,US/Canada,355,https://www.meetup.com/Chicago-Indie-Hackers/,28-03-2018,13,0,public,29-07-2020
769,LABDATA - FIA,São Paulo,Brazil,Latin America,1391,https://www.meetup.com/labdata-fia/,05-02-2020,24,0,public,01-06-2021
770,Dutch Data Science Meetup Group,Delft,Netherlands,Europe,1093,https://www.meetup.com/Dutch-Data-Science-Meetup-Group/,09-03-2015,6,0,public,25-05-2018
771,Timeseries Forecasting and Event Analytics Melbourne Meetup,Melbourne,Australia,Australia,1164,https://www.meetup.com/Timeseries-Forecasting-and-Event-Analytics-Melbourne-Meetup/,23-05-2018,14,0,public,05-11-2020
772,ODSC New York Accelerate AI (AIx),New York,USA,US/Canada,3104,https://www.meetup.com/New-York-ODSC/,29-06-2015,173,1,public,02-06-2021
773,Lyon Data Science,Lyon,France,Europe,3292,https://www.meetup.com/Lyon-Data-Science/,24-08-2015,53,0,public,01-06-2021
774,Hitchin Data Science Meetup Group,Hitchin,United Kingdom,Europe,58,https://www.meetup.com/Hitchin-Data-Science-Meetup-Group/,23-08-2019,5,0,public,19-02-2020
775,Burlington Data Scientists,Burlington,USA,US/Canada,788,https://www.meetup.com/Burlington-Data-Scientists/,31-07-2013,75,0,public,04-03-2020
776,Code•It! Little Rock Dev Meetup,Little Rock,USA,US/Canada,270,https://www.meetup.com/Code-It-Little-Rock-Dev-Meetup/,09-03-2016,6,0,public,02-05-2017
777,Colombo Haskell Meetup,Dehiwala-Mount Lavinia,Sri Lanka,Asia,377,https://www.meetup.com/Colombo-Haskell-Meetup/,30-03-2017,0,0,public,01-01-1970
778,Chicago Cloud Foundry User Group,Chicago,USA,US/Canada,1530,https://www.meetup.com/Chicago-Cloud-Foundry-User-Group/,30-06-2014,17,0,public,07-05-2019
779,Singapore Apache Druid® Meetup by Imply,Singapore,Singapore,Asia,53,https://www.meetup.com/Singapore-Apache-Druid-Meetup-by-Imply/,07-01-2020,5,0,public,15-12-2020
780,Scala for Startups is merged into SF Scala,San Francisco,USA,US/Canada,249,https://www.meetup.com/Scala-for-Startups/,10-09-2011,18,0,public,28-03-2013
781,Bay Area Apache Druid® Meetup by Imply,Burlingame,USA,US/Canada,2218,https://www.meetup.com/druidio/,05-03-2013,45,1,public,27-05-2021
782,Applied Machine Learning by Cubonacci,Amsterdam,Netherlands,Europe,307,https://www.meetup.com/Applied-Machine-Learning-by-Cubonacci/,18-11-2019,3,0,public,21-05-2020
783,Bay Area Chromatin and Epigenomics Group,San Francisco,USA,US/Canada,428,https://www.meetup.com/bay-area-chromatin-and-epigenomics-group/,21-12-2019,15,0,public,26-05-2021
784,Pune Big Data Analytics Meetup,Pune,India,Asia,5724,https://www.meetup.com/meetup-group-mBrnrixQ/,22-03-2017,305,0,public,28-04-2020
785,Kaohsiung Python Meetup,Kaohsiung,Taiwan,Asia,655,https://www.meetup.com/Kaohsiung-Python-Meetup/,09-10-2015,48,0,public,03-01-2020
786,ATLytiCS: Analytics For Good,Atlanta,USA,US/Canada,1826,https://www.meetup.com/ATLytiCS-Analytics-For-Good/,23-06-2018,18,0,public,24-05-2021
787,San Diego Data Science Learners,San Diego,USA,US/Canada,64,https://www.meetup.com/san-diego-data-science-learners/,13-04-2021,1,0,public,28-05-2021
788,SwissAI Geneva Meetup,Genève,Switzerland,Europe,505,https://www.meetup.com/SwissAI-Geneva/,12-01-2011,9,0,public,23-09-2020
789,Open Cities Lab,Durban,South Africa,Africa,568,https://www.meetup.com/Open-Cities-Lab/,18-05-2015,56,0,public,03-03-2018
790,Greenville Data Science & Analytics Meetup,Greenville,USA,US/Canada,560,https://www.meetup.com/Greenville-Data-Science-Analytics-Meetup/,16-09-2015,23,0,public_limited,03-12-2019
791,Chicago Big Data,Chicago,USA,US/Canada,3205,https://www.meetup.com/Chicago-Big-Data/,31-01-2011,92,0,public,02-11-2017
792,Data Visualization Group in the Bay Area,San Francisco,USA,US/Canada,8076,https://www.meetup.com/visualizemydata/,16-08-2010,95,0,public,09-06-2021
793,Data Science Brest,Brest,France,Europe,694,https://www.meetup.com/Data-Science-Brest/,10-11-2016,37,0,public,29-04-2021
795,Midwest Julia Users,Chicago,USA,US/Canada,152,https://www.meetup.com/Midwest-Julia-Users/,13-10-2016,3,1,public,24-07-2020
796,Julia User Group Munich,München,Germany,Europe,287,https://www.meetup.com/Julia-User-Group-Munich/,08-01-2020,14,0,public,03-05-2021
797,Milwaukee Data Science,Milwaukee,USA,US/Canada,516,https://www.meetup.com/Milwaukee-Data-Science/,30-10-2013,12,0,public,10-10-2019
798,Data Science Women,Denver,USA,US/Canada,669,https://www.meetup.com/data-science-women/,03-11-2018,7,0,public,01-02-2020
799,AI in Financial Services,Frankfurt,Germany,Europe,302,https://www.meetup.com/AI-Big-Data-and-Network-Analysis-in-Financial-Services/,26-01-2018,4,0,public,25-05-2021
800,Newbury AI Meetup,Newbury,United Kingdom,Europe,407,https://www.meetup.com/Newbury-AI-Meetup/,24-08-2018,34,0,public_limited,15-04-2021
801,Argentina Data Science Meetup,Buenos Aires,Argentina,Latin America,4047,https://www.meetup.com/Argentina-Data-Science-Meetup/,26-01-2016,11,0,public,03-10-2019
